title,ranking,critic_score,number_of_critic_ratings,audience_score,number_of_audience_ratings
12 Angry Men (Twelve Angry Men) (1957),53,100,49,97,103672
12 Years a Slave (2013),29,96,316,90,138789
A Hard Day's Night (1964),22,98,104,89,50067
A Streetcar Named Desire (1951),60,98,54,90,54761
Alien (1979),48,97,104,94,457186
All About Eve (1950),7,100,64,94,44564
All Quiet on the Western Front (1930),56,100,40,89,17768
Apocalypse Now (1979),89,98,80,94,284606
Argo (2012),40,96,313,90,207373
Army of Shadows (L'Armée des ombres) (1969),57,97,73,94,7011
Arrival (2016),58,94,333,82,78740
Baby Driver (2017),59,93,283,89,48114
Battleship Potemkin (1925),100,100,45,85,18709
Bicycle Thieves (Ladri di biciclette) (1949),49,98,56,94,33723
Boyhood (2014),15,98,283,81,88478
Brooklyn (2015),74,97,243,87,45763
Casablanca (1942),16,97,74,95,355952
Citizen Kane (1941),2,100,75,90,157274
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),64,99,74,94,208215
Dunkirk (2017),26,93,337,82,53555
E.T. The Extra-Terrestrial (1982),11,98,114,72,32313030
Finding Nemo (2003),73,99,256,86,33355673
Frankenstein (1931),65,100,45,87,41140
Get Out (2017),4,99,282,87,63837
Gone With the Wind (1939),78,94,83,93,292794
Gravity (2013),30,96,315,80,301261
Harry Potter and the Deathly Hallows - Part 2 (2011),93,96,314,89,389431
Hell or High Water (2016),83,97,237,88,37738
High Noon (1952),88,96,50,89,25065
Inside Out (2015),8,98,324,89,133558
It Happened One Night (1934),13,98,52,93,33106
Jaws (1975),97,97,74,90,942217
King Kong (1933),32,98,54,86,89669
L.A. Confidential (1997),77,99,108,94,149772
La Grande illusion (Grand Illusion) (1938),23,97,63,92,11490
La La Land (2016),86,92,358,82,67325
Laura (1944),19,100,60,91,10481
Logan (2017),55,93,309,91,86540
M (1931),45,100,51,95,35778
Mad Max: Fury Road (2015),5,97,370,86,123937
Man on Wire (2008),96,100,156,87,29827
Manchester by the Sea (2016),63,96,278,77,48189
Metropolis (1927),10,99,116,92,62018
Modern Times (1936),12,100,53,95,39736
Moonlight (2016),17,98,292,80,41956
North by Northwest (1959),24,100,65,94,78793
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",20,97,62,87,47463
On the Waterfront (1954),90,98,61,95,51664
Open City (1946),81,100,41,92,6128
Pinocchio (1940),84,100,45,72,278682
Psycho (1960),18,97,86,94,238259
Rashômon (1951),35,100,50,93,47657
Rear Window (1954),36,100,63,95,149458
Rebecca (1940),71,100,48,92,39026
Repulsion (1965),28,100,60,87,18655
Roman Holiday (1953),95,98,52,94,62895
Rosemary's Baby (1968),72,99,69,87,72669
Selma (2015),37,99,236,86,60533
Seven Samurai (Shichinin no Samurai) (1956),50,100,57,97,90049
Singin' in the Rain (1952),14,100,49,95,137643
Skyfall (2012),80,93,349,86,372497
Snow White and the Seven Dwarfs (1937),21,98,47,78,469510
Spotlight (2015),33,96,311,93,68142
Star Trek (2009),87,95,336,91,746458
Star Wars: Episode VII - The Force Awakens (2015),62,92,370,89,222789
Sunset Boulevard (1950),31,98,60,95,52783
Taxi Driver (1976),38,99,77,93,258405
The 39 Steps (1935),76,98,44,86,23647
The 400 Blows (Les Quatre cents coups) (1959),54,100,54,94,38368
The Adventures of Robin Hood (1938),34,100,45,89,33584
The Babadook (2014),69,98,214,72,37024
The Battle of Algiers (La Battaglia di Algeri) (1967),25,99,83,95,14267
The Big Sick (2017),42,98,217,90,23391
The Bride of Frankenstein (1935),43,100,41,87,24471
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),6,100,49,89,27163
The Conformist (1970),70,100,50,91,8529
The Dark Knight (2008),67,94,325,94,1827436
The Godfather (1972),9,99,85,98,730433
"The Godfather, Part II (1974)",99,97,72,97,409574
"The Good, the Bad and the Ugly (1966)",79,97,68,97,238420
The Grapes of Wrath (1940),94,100,43,88,23954
The Jungle Book (2016),85,95,284,86,92856
The Last Picture Show (1971),92,100,51,90,13893
The Maltese Falcon (1941),27,100,50,91,57268
The Night of the Hunter (1955),61,98,64,90,24322
The Philadelphia Story (1940),47,100,54,93,46810
The Third Man (1949),3,100,77,93,53081
The Treasure of the Sierra Madre (1948),51,100,45,93,25627
The Wages of Fear (1953),91,100,40,95,8536
The Wizard of Oz (1939),1,99,110,89,874425
The Wrestler (2008),75,98,222,88,139795
Tokyo Story (Tôkyô monogatari) (1953),82,100,42,93,11325
Touch of Evil (1958),68,96,70,92,30867
Toy Story (1995),98,100,78,92,1107731
Toy Story 2 (1999),41,100,163,86,998186
Toy Story 3 (2010),39,99,291,89,605098
Up (2009),52,98,286,90,1201878
Vertigo (1958),66,97,64,93,101454
Wonder Woman (2017),46,92,333,90,112955
Zootopia (2016),44,98,249,92,98633
